sensor_id,hour_of_day,mean_flow_lpm,std_flow_lpm,max_flow_lpm,pct_time_flowing,expected_flow_lpm,deviation_from_expected,is_leak,leak_probability
sensor_flow_0,19,8.526,0.628,10.388,0.961,8.867,-0.341,0,0.0
sensor_flow_0,4,0.542,0.571,1.481,0.0,0.101,0.441,0,0.0
sensor_flow_0,5,6.293,0.588,7.84,0.932,0.01,6.284,1,1.0
sensor_flow_0,15,1.362,1.499,5.293,0.262,2.439,-1.077,0,0.0
sensor_flow_0,7,5.124,1.448,8.157,0.649,5.261,-0.137,0,0.0
sensor_flow_0,10,1.588,0.493,2.408,0.117,2.77,-1.181,0,0.0
sensor_flow_0,22,1.477,1.064,3.403,0.048,0.488,0.989,0,0.0
sensor_flow_0,22,0.453,1.168,3.24,0.0,0.313,0.14,0,0.0
sensor_flow_0,13,2.607,0.511,4.052,0.294,1.873,0.734,0,0.0
sensor_flow_0,9,5.085,1.053,7.472,0.595,5.526,-0.44,0,0.0
sensor_flow_0,8,4.481,0.399,5.238,0.339,4.429,0.052,0,0.0
sensor_flow_0,9,6.795,1.401,10.698,0.44,7.195,-0.4,0,0.0
sensor_flow_0,12,1.112,1.483,4.32,0.415,1.472,-0.36,0,0.0
sensor_flow_0,11,1.811,1.138,3.771,0.267,2.196,-0.384,0,0.0
sensor_flow_0,12,11.501,0.152,11.733,0.872,2.838,8.663,1,1.0
sensor_flow_0,16,1.817,1.11,3.577,0.23,2.279,-0.462,0,0.0
sensor_flow_0,8,6.699,0.595,7.659,0.854,7.127,-0.428,0,0.0
sensor_flow_0,0,0.0,1.162,2.71,0.065,0.06,-0.06,0,0.0
sensor_flow_0,15,3.361,0.388,3.981,0.0,1.29,2.071,0,0.0
sensor_flow_0,23,1.308,0.691,3.147,0.017,0.412,0.895,0,0.0
sensor_flow_0,5,0.347,1.396,3.473,0.0,0.068,0.278,0,0.0
sensor_flow_0,5,0.469,0.949,2.17,0.026,0.091,0.378,0,0.0
sensor_flow_0,11,1.895,1.433,5.179,0.254,2.381,-0.486,0,0.0
sensor_flow_0,14,1.129,1.06,2.801,0.578,1.733,-0.604,0,0.0
sensor_flow_0,23,3.858,0.398,4.555,0.959,0.219,3.639,1,1.0
sensor_flow_0,17,2.739,1.141,5.068,0.55,2.899,-0.16,0,0.0
sensor_flow_0,17,2.488,1.462,5.387,0.628,2.899,-0.41,0,0.0
sensor_flow_0,7,4.864,1.033,7.535,0.527,4.122,0.743,0,0.0
sensor_flow_0,15,1.816,1.336,4.68,0.446,1.292,0.524,0,0.0
sensor_flow_0,0,0.0,1.261,3.166,0.0,0.1,-0.1,0,0.0
sensor_flow_0,12,3.201,0.358,3.95,0.167,2.714,0.487,0,0.0
sensor_flow_0,15,1.516,0.391,2.67,0.088,2.519,-1.003,0,0.0
sensor_flow_0,8,8.376,0.635,10.211,0.874,8.979,-0.603,0,0.0
sensor_flow_0,13,10.12,0.45,11.07,0.911,1.804,8.316,1,1.0
sensor_flow_0,12,13.767,0.245,14.137,0.871,2.147,11.621,1,1.0
sensor_flow_0,11,7.097,0.324,7.94,0.878,2.726,4.37,1,1.0
sensor_flow_0,20,4.408,0.858,5.892,0.376,4.29,0.118,0,0.0
sensor_flow_0,7,16.125,0.24,16.531,0.896,4.324,11.801,1,1.0
sensor_flow_0,5,0.749,1.035,2.929,0.0,0.378,0.371,0,0.0
sensor_flow_0,1,7.789,0.232,8.433,0.863,0.399,7.39,1,1.0
sensor_flow_0,20,4.79,0.878,6.906,0.146,4.04,0.75,0,0.0
sensor_flow_0,21,5.855,1.428,8.803,0.551,5.201,0.653,0,0.0
sensor_flow_0,19,8.227,1.008,10.011,0.952,8.967,-0.74,0,0.0
sensor_flow_0,8,7.368,0.991,10.05,0.725,7.298,0.07,0,0.0
sensor_flow_0,14,2.424,1.306,6.256,0.275,2.586,-0.162,0,0.0
sensor_flow_0,21,14.04,0.319,14.77,0.962,5.605,8.436,1,1.0
sensor_flow_0,21,4.3,0.345,4.97,0.84,4.382,-0.082,0,0.0
sensor_flow_0,22,0.0,1.132,2.333,0.177,0.266,-0.266,0,0.0
sensor_flow_0,10,2.164,1.233,4.232,0.448,2.489,-0.325,0,0.0
sensor_flow_0,5,0.0,0.92,1.689,0.0,0.347,-0.347,0,0.0
sensor_flow_0,15,2.924,0.751,5.066,0.038,2.034,0.89,0,0.0
sensor_flow_0,14,4.646,0.196,4.945,0.941,1.242,3.405,1,1.0
sensor_flow_0,5,6.776,0.124,7.091,0.941,0.143,6.633,1,1.0
sensor_flow_0,1,0.639,0.368,1.615,0.098,0.112,0.527,0,0.0
sensor_flow_0,17,1.661,0.367,2.307,0.081,1.622,0.039,0,0.0
sensor_flow_0,4,0.0,1.284,2.953,0.0,0.003,-0.003,0,0.0
sensor_flow_0,0,0.684,1.391,4.429,0.041,0.224,0.46,0,0.0
sensor_flow_0,4,1.454,0.31,2.139,0.0,0.355,1.099,0,0.0
sensor_flow_0,5,1.322,0.555,2.686,0.14,0.425,0.897,0,0.0
sensor_flow_0,12,2.254,0.754,3.673,0.305,2.106,0.148,0,0.0
sensor_flow_0,5,0.482,0.427,1.545,0.319,0.349,0.133,0,0.0
sensor_flow_0,5,0.63,0.901,3.232,0.0,0.259,0.371,0,0.0
sensor_flow_0,14,1.124,1.243,4.52,0.039,1.116,0.008,0,0.0
sensor_flow_0,8,4.347,1.294,6.629,0.377,5.249,-0.901,0,0.0
sensor_flow_0,15,2.223,0.57,3.719,0.527,1.707,0.517,0,0.0
sensor_flow_0,13,1.946,0.905,4.521,0.14,1.078,0.868,0,0.0
sensor_flow_0,18,6.909,1.256,10.528,0.89,6.719,0.19,0,0.0
sensor_flow_0,2,0.098,1.019,2.463,0.201,0.101,-0.003,0,0.0
sensor_flow_0,5,0.0,0.429,1.217,0.019,0.394,-0.394,0,0.0
sensor_flow_0,5,0.0,0.795,2.257,0.0,0.163,-0.163,0,0.0
sensor_flow_0,6,5.753,0.349,6.785,0.92,5.023,0.73,0,0.0
sensor_flow_0,17,1.024,0.39,1.902,0.039,1.067,-0.043,0,0.0
sensor_flow_0,15,1.79,0.641,3.49,0.21,1.41,0.38,0,0.0
sensor_flow_0,9,9.105,0.988,10.639,0.914,8.516,0.589,0,0.0
sensor_flow_0,16,2.574,0.959,5.441,0.301,2.638,-0.064,0,0.0
sensor_flow_0,8,6.056,1.194,8.646,0.691,6.432,-0.376,0,0.0
