tank_level_pct,float_switch_full,shortage_severity,leak_detected
3.96,False,medium,False
75.29,False,medium,False
63.12,False,medium,False
13.16,False,low,False
54.79,False,low,False
98.78,True,medium,False
51.62,False,high,False
30.46,False,high,False
97.25,True,low,False
23.7,False,medium,True
74.83,False,low,False
96.66,True,low,False
99.64,True,high,False
71.93,False,low,False
72.03,False,medium,False
55.72,False,high,False
56.62,False,low,False
6.6,False,low,False
76.0,False,low,False
80.79,False,low,False
63.27,False,high,False
96.39,True,low,False
22.61,False,medium,False
79.91,False,medium,False
24.69,False,high,False
38.67,False,low,False
10.62,False,medium,False
43.05,False,medium,False
88.17,False,low,False
91.32,False,low,False
93.28,False,low,False
94.05,False,low,False
65.38,False,high,False
79.28,False,low,False
77.86,False,high,False
7.89,False,high,False
1.73,False,medium,False
98.44,True,medium,False
39.8,False,medium,False
42.64,False,low,False
37.93,False,high,False
68.32,False,low,False
62.49,False,high,False
53.8,False,low,False
58.54,False,high,False
70.29,False,medium,False
76.69,False,medium,False
76.37,False,high,False
81.1,False,high,False
51.12,False,high,False
50.82,False,medium,False
19.95,False,low,False
15.28,False,low,False
85.2,False,high,False
99.47,True,low,True
67.79,False,high,True
52.63,False,medium,False
83.35,False,low,False
96.2,True,low,False
48.0,False,medium,False
28.33,False,low,False
27.52,False,high,True
88.19,False,high,True
62.76,False,medium,False
88.01,False,low,False
55.05,False,low,False
33.93,False,low,False
84.46,False,low,False
90.96,False,high,False
3.0,False,high,False
43.83,False,high,True
13.31,False,medium,False
38.97,False,high,False
99.14,True,medium,False
24.05,False,low,True
13.46,False,low,False
62.22,False,low,False
6.81,False,low,False
44.73,False,medium,False
11.08,False,high,False
34.96,False,medium,False
92.8,False,high,False
22.66,False,medium,False
54.22,False,low,False
91.81,False,low,True
99.11,True,low,False
34.09,False,low,False
2.2,False,high,False
81.78,False,medium,False
97.23,True,low,False
14.01,False,low,False
89.22,False,low,False
56.68,False,low,False
58.0,False,low,False
64.74,False,medium,False
93.74,False,medium,False
20.95,False,medium,False
58.13,False,medium,False
33.5,False,high,False
58.97,False,high,True
96.71,True,medium,False
86.77,False,low,False
34.34,False,high,False
76.58,False,low,False
83.82,False,low,False
72.55,False,low,False
32.56,False,high,False
37.13,False,high,False
67.05,False,medium,False
94.64,False,high,False
72.79,False,medium,False
73.31,False,low,False
39.04,False,low,False
24.03,False,medium,False
66.59,False,high,True
13.07,False,low,False
27.13,False,low,False
14.99,False,medium,False
31.11,False,low,False
97.51,True,high,False
38.11,False,low,False
12.11,False,low,False
55.84,False,low,False
24.52,False,low,False
5.83,False,high,False
88.24,False,high,False
42.04,False,high,True
48.72,False,low,False
83.67,False,medium,False
55.5,False,medium,False
92.22,False,low,False
19.02,False,medium,False
32.68,False,low,False
14.53,False,high,False
79.95,False,low,False
29.14,False,low,False
0.93,False,high,False
32.12,False,medium,False
18.29,False,low,False
83.98,False,low,False
60.9,False,low,False
54.99,False,low,False
88.0,False,low,True
30.21,False,low,False
24.31,False,medium,False
15.85,False,low,False
88.2,False,medium,True
32.16,False,low,False
94.16,False,low,False
49.25,False,low,False
10.71,False,high,False
52.3,False,medium,False
35.13,False,medium,False
45.27,False,low,False
42.52,False,medium,True
48.3,False,high,False
48.64,False,medium,False
46.72,False,low,False
2.55,False,medium,False
93.94,False,low,False
63.87,False,low,False
12.36,False,low,False
56.91,False,low,False
28.41,False,low,False
69.22,False,low,False
17.26,False,low,False
13.68,False,high,False
74.37,False,low,False
83.1,False,high,False
4.76,False,low,True
17.98,False,medium,False
65.32,False,medium,False
63.99,False,low,False
31.02,False,high,False
63.77,False,medium,False
42.97,False,low,False
35.23,False,low,False
57.71,False,high,False
28.18,False,low,False
78.16,False,high,False
22.07,False,low,False
1.9,False,medium,False
32.56,False,medium,False
0.4,False,low,False
72.49,False,low,False
6.1,False,medium,False
64.71,False,low,False
34.44,False,low,False
73.14,False,high,False
45.64,False,medium,False
53.35,False,low,False
96.53,True,low,True
40.28,False,low,False
47.66,False,high,False
75.8,False,medium,False
31.53,False,high,False
4.99,False,low,False
15.0,False,low,False
57.36,False,medium,False
66.22,False,low,False
12.36,False,low,False
54.74,False,low,False
7.42,False,low,False
31.69,False,medium,False
23.42,False,low,False
74.24,False,low,False
68.75,False,low,False
21.62,False,medium,False
54.36,False,low,False
36.62,False,medium,False
3.02,False,high,False
78.07,False,low,False
88.06,False,low,False
99.86,True,high,False
32.99,False,high,False
3.31,False,low,False
74.36,False,medium,False
6.72,False,low,False
68.12,False,high,False
20.75,False,medium,False
92.67,False,medium,False
78.32,False,low,False
78.12,False,high,False
84.9,False,low,False
92.99,False,low,False
65.96,False,high,False
90.94,False,high,False
42.99,False,medium,True
75.3,False,low,False
13.94,False,medium,False
69.92,False,low,False
40.62,False,medium,False
64.72,False,low,False
44.98,False,low,False
25.43,False,low,False
72.24,False,low,False
9.61,False,medium,False
37.64,False,medium,False
11.33,False,medium,False
89.13,False,medium,True
63.86,False,high,True
13.57,False,medium,False
35.32,False,medium,False
44.4,False,medium,False
34.89,False,medium,False
87.42,False,high,False
78.24,False,high,False
77.33,False,low,False
27.46,False,low,False
22.68,False,low,False
9.86,False,high,False
73.82,False,low,False
3.14,False,medium,False
45.5,False,low,False
20.74,False,low,False
54.16,False,high,False
14.08,False,low,False
60.21,False,high,False
10.19,False,high,False
64.72,False,low,False
62.07,False,low,True
59.25,False,medium,False
90.63,False,low,False
37.2,False,medium,True
70.24,False,low,False
11.21,False,low,False
13.73,False,low,False
98.1,True,low,False
2.16,False,medium,False
90.35,False,low,False
58.39,False,low,False
18.32,False,medium,False
32.41,False,low,False
45.53,False,high,False
29.15,False,medium,False
8.12,False,low,False
98.4,True,medium,False
57.14,False,low,False
29.22,False,low,False
60.86,False,high,False
6.9,False,high,False
53.53,False,low,False
0.07,False,high,False
18.35,False,high,False
25.6,False,medium,False
28.65,False,low,False
12.94,False,high,False
28.55,False,medium,False
66.65,False,low,False
16.94,False,low,True
94.11,False,low,False
48.98,False,low,True
26.46,False,medium,False
18.79,False,low,False
56.85,False,low,False
47.24,False,low,False
78.07,False,low,False
8.51,False,low,False
65.36,False,low,True
64.27,False,medium,False
68.62,False,low,False
48.64,False,medium,False
79.06,False,low,False
23.74,False,medium,False
26.96,False,low,True
68.38,False,medium,False
70.83,False,high,False
82.73,False,low,False
55.11,False,high,False
68.98,False,medium,False
7.73,False,medium,False
88.42,False,medium,False
48.03,False,medium,False
28.73,False,high,False
25.71,False,medium,True
72.01,False,low,False
15.72,False,medium,False
74.16,False,low,False
54.93,False,low,True
41.36,False,high,False
74.9,False,medium,False
0.06,False,low,False
13.87,False,high,False
12.12,False,low,False
95.09,False,high,False
98.59,True,low,False
55.62,False,medium,False
82.06,False,low,False
75.72,False,low,False
37.5,False,high,False
76.03,False,medium,False
20.05,False,medium,False
94.59,False,low,False
72.61,False,low,False
6.98,False,medium,False
77.24,False,medium,False
36.88,False,high,False
65.54,False,low,False
81.77,False,high,True
82.61,False,low,False
70.43,False,low,False
50.02,False,low,False
10.97,False,low,False
99.05,True,low,False
92.54,False,medium,False
27.09,False,medium,False
98.16,True,low,False
86.1,False,medium,False
70.63,False,low,False
25.07,False,low,False
16.19,False,medium,True
41.06,False,high,False
6.86,False,medium,False
47.42,False,low,False
5.44,False,high,False
36.28,False,high,False
69.84,False,medium,False
7.23,False,high,False
93.18,False,low,False
43.03,False,low,False
24.51,False,medium,False
13.09,False,low,False
60.7,False,low,False
36.27,False,high,True
69.52,False,low,False
83.66,False,medium,False
73.25,False,low,True
66.56,False,high,True
68.76,False,high,False
48.54,False,low,False
39.63,False,medium,False
48.84,False,medium,False
74.14,False,medium,False
47.81,False,low,False
76.57,False,medium,False
20.94,False,medium,False
23.31,False,low,False
62.32,False,high,False
86.03,False,medium,False
5.64,False,medium,False
24.21,False,low,False
6.02,False,medium,False
91.78,False,medium,False
66.4,False,medium,False
41.54,False,low,False
30.24,False,medium,False
68.29,False,low,False
60.22,False,high,False
31.52,False,high,False
27.61,False,low,False
41.4,False,low,True
1.05,False,high,False
69.84,False,medium,False
6.15,False,high,False
45.34,False,high,False
31.28,False,high,False
42.01,False,high,False
88.74,False,low,False
65.67,False,medium,True
55.57,False,low,False
56.16,False,medium,False
42.14,False,medium,False
61.16,False,low,False
29.55,False,medium,False
2.23,False,low,False
54.43,False,low,False
50.33,False,low,True
33.54,False,medium,False
94.44,False,medium,False
97.69,True,medium,False
8.45,False,medium,True
86.88,False,medium,False
59.11,False,high,True
73.64,False,low,True
31.23,False,low,False
71.08,False,medium,False
76.17,False,high,False
80.64,False,low,False
40.18,False,low,False
52.42,False,high,False
90.65,False,low,False
90.11,False,low,False
36.09,False,high,False
81.19,False,medium,False
52.87,False,medium,False
12.08,False,medium,False
1.26,False,medium,False
72.58,False,high,False
97.33,True,low,False
19.65,False,high,False
1.06,False,medium,False
8.89,False,low,False
3.37,False,medium,False
91.1,False,high,False
40.0,False,low,False
12.02,False,low,False
2.94,False,low,False
8.4,False,high,False
43.2,False,low,False
76.69,False,medium,False
51.07,False,low,False
90.53,False,high,True
84.04,False,high,False
81.48,False,high,True
38.38,False,high,False
68.23,False,low,False
97.84,True,medium,False
96.7,True,high,False
94.69,False,low,False
59.98,False,low,False
76.09,False,medium,False
19.53,False,high,False
68.2,False,low,False
38.22,False,low,False
36.65,False,low,False
35.52,False,medium,False
81.02,False,low,False
95.67,False,low,False
93.9,False,medium,True
87.03,False,high,False
41.18,False,medium,False
39.66,False,medium,False
18.36,False,high,False
5.68,False,high,False
80.24,False,low,False
1.39,False,low,False
52.53,False,medium,False
86.77,False,high,False
82.39,False,medium,False
48.91,False,medium,False
60.9,False,low,True
55.29,False,low,False
65.04,False,low,False
34.7,False,medium,False
19.66,False,high,False
35.21,False,low,False
22.74,False,high,True
14.21,False,low,False
86.61,False,medium,False
7.89,False,low,False
59.38,False,low,False
63.23,False,high,False
32.73,False,low,False
3.77,False,low,False
56.98,False,medium,False
12.83,False,medium,False
3.04,False,low,False
31.19,False,low,False
55.65,False,medium,False
35.54,False,low,False
38.43,False,medium,False
89.45,False,low,False
78.67,False,medium,True
94.26,False,medium,False
77.96,False,medium,False
29.66,False,low,False
71.2,False,low,True
68.47,False,low,False
70.83,False,medium,False
17.21,False,medium,False
60.45,False,low,False
15.12,False,low,False
70.98,False,low,False
79.89,False,medium,False
22.02,False,low,False
97.28,True,low,False
78.79,False,low,False
41.89,False,medium,False
44.73,False,high,False
1.54,False,medium,False
84.32,False,medium,False
28.96,False,high,True
65.74,False,low,False
79.02,False,low,False
83.75,False,low,False
19.27,False,low,False
29.32,False,medium,True
7.95,False,medium,False
87.97,False,low,False
70.29,False,medium,False
24.93,False,medium,False
78.8,False,low,False
39.55,False,low,False
8.12,False,low,True
3.31,False,high,False
42.57,False,low,False
81.85,False,high,False
3.06,False,low,False
0.3,False,medium,False
8.18,False,medium,False
18.4,False,medium,False
30.81,False,low,False
3.88,False,medium,False
4.83,False,low,False
39.25,False,high,True
61.41,False,medium,False
30.59,False,low,False
63.06,False,medium,False
13.71,False,low,False
8.11,False,high,False
18.0,False,medium,False
93.62,False,medium,False
68.04,False,low,False
23.42,False,low,True
96.8,True,high,True
84.48,False,medium,False
80.63,False,medium,False
89.98,False,low,True
98.27,True,medium,False
88.19,False,low,True
48.06,False,low,True
95.9,True,medium,False
26.92,False,medium,False
59.73,False,low,False
29.76,False,low,False
97.76,True,low,False
95.75,True,high,False
1.3,False,medium,False
82.72,False,low,False
81.68,False,low,False
11.88,False,low,False
92.3,False,medium,False
1.67,False,medium,False
89.28,False,low,False
70.0,False,low,False
24.97,False,medium,False
73.44,False,high,False
95.07,True,low,False
3.79,False,low,False
18.89,False,high,False
24.59,False,low,False
70.09,False,low,False
14.88,False,low,False
35.42,False,medium,False
25.9,False,medium,False
0.25,False,medium,False
86.21,False,low,True
40.49,False,medium,True
81.12,False,low,False
90.58,False,medium,False
60.08,False,medium,False
81.71,False,medium,False
49.38,False,medium,False
42.44,False,low,False
20.05,False,high,False
86.17,False,high,False
89.19,False,low,False
4.96,False,low,False
35.98,False,high,False
91.3,False,high,False
78.48,False,high,False
47.9,False,low,False
44.68,False,low,False
26.47,False,high,False
66.5,False,low,False
63.46,False,low,False
29.38,False,high,True
21.87,False,low,False
79.8,False,medium,True
43.36,False,low,False
41.95,False,low,False
63.1,False,low,False
82.79,False,medium,False
52.55,False,high,False
42.0,False,high,False
44.9,False,high,False
38.8,False,high,False
84.91,False,high,True
87.11,False,low,False
75.56,False,medium,False
60.06,False,low,False
69.61,False,low,False
48.97,False,high,False
89.73,False,low,False
79.16,False,low,False
99.78,False,low,False
90.97,False,low,False
75.71,False,low,False
21.1,False,low,False
74.02,False,low,False
26.56,False,low,False
22.45,False,low,True
50.27,False,low,False
72.35,False,low,False
39.09,False,high,False
74.38,False,high,True
33.3,False,medium,False
24.67,False,medium,False
40.4,False,medium,False
93.72,False,medium,False
66.93,False,low,False
5.07,False,medium,False
83.94,False,medium,False
65.9,False,low,False
7.8,False,low,False
97.19,True,low,True
4.54,False,high,False
88.04,False,low,False
67.38,False,low,False
79.97,False,low,True
52.21,False,high,False
10.96,False,medium,False
87.7,False,low,False
82.17,False,medium,True
24.02,False,low,False
76.11,False,high,False
91.68,False,high,True
23.93,False,medium,False
22.29,False,medium,False
60.21,False,high,False
5.54,False,medium,False
31.26,False,low,False
81.59,False,medium,False
27.3,False,low,False
13.43,False,high,False
26.01,False,high,False
71.22,False,high,False
66.22,False,low,False
29.96,False,medium,False
36.98,False,low,False
28.66,False,low,True
31.58,False,low,False
40.18,False,high,False
7.27,False,high,True
83.72,False,low,True
97.74,True,high,False
46.16,False,low,False
79.35,False,low,False
26.56,False,medium,False
34.88,False,medium,False
94.6,False,low,False
34.86,False,medium,False
9.7,False,medium,True
4.3,False,high,False
56.27,False,low,False
34.63,False,medium,False
35.42,False,low,False
72.79,False,low,False
70.69,False,low,False
82.45,False,medium,True
16.73,False,low,False
26.55,False,high,False
45.21,False,high,False
38.73,False,high,False
57.97,False,low,False
77.58,False,medium,False
94.23,False,medium,False
0.88,False,medium,False
68.82,False,low,False
1.5,False,low,False
25.19,False,low,False
74.19,False,low,False
49.74,False,high,False
94.6,False,high,False
7.12,False,high,False
28.22,False,low,False
28.3,False,high,False
15.34,False,low,False
74.03,False,medium,False
92.34,False,low,False
19.11,False,low,False
60.14,False,low,False
33.64,False,low,False
61.36,False,high,False
18.32,False,high,False
66.15,False,low,False
98.72,False,high,False
50.05,False,medium,True
79.33,False,medium,False
38.26,False,low,False
97.45,True,low,False
68.94,False,medium,False
67.05,False,medium,False
48.39,False,low,False
72.62,False,low,False
40.3,False,medium,True
44.89,False,low,False
5.54,False,low,False
66.85,False,medium,False
66.19,False,low,False
5.12,False,low,False
89.51,False,medium,False
83.19,False,low,False
8.01,False,high,False
58.08,False,medium,False
35.05,False,medium,False
29.62,False,medium,True
82.18,False,low,False
45.44,False,medium,False
82.14,False,low,False
9.83,False,high,False
38.13,False,low,False
31.99,False,low,False
89.83,False,low,False
37.34,False,high,False
16.59,False,medium,False
1.74,False,high,False
41.35,False,medium,False
0.42,False,medium,False
84.93,False,low,True
94.44,False,medium,False
72.51,False,low,False
65.42,False,high,False
80.08,False,low,False
35.38,False,high,False
45.62,False,low,False
59.29,False,medium,False
24.28,False,medium,False
20.56,False,low,False
11.39,False,low,False
40.1,False,high,False
67.79,False,low,True
31.39,False,medium,False
82.36,False,high,False
41.46,False,medium,False
95.41,True,medium,True
63.07,False,low,False
43.35,False,low,False
89.51,False,low,False
6.03,False,medium,False
42.95,False,high,False
59.55,False,low,False
86.15,False,low,True
35.91,False,low,False
95.85,True,low,False
57.78,False,high,False
86.78,False,medium,False
14.15,False,high,False
77.27,False,medium,False
28.57,False,high,False
17.77,False,medium,False
64.27,False,medium,False
99.34,True,high,False
85.54,False,high,True
50.37,False,low,False
5.96,False,low,False
91.71,False,medium,False
82.85,False,high,True
10.35,False,high,True
71.42,False,medium,False
9.76,False,medium,False
92.88,False,low,False
18.39,False,low,False
9.94,False,low,False
70.97,False,medium,False
14.68,False,low,False
97.35,True,low,False
31.9,False,medium,False
62.36,False,low,True
68.71,False,medium,False
64.94,False,high,False
66.85,False,medium,False
15.43,False,low,False
68.7,False,medium,True
95.42,False,low,False
20.9,False,high,False
70.02,False,high,False
87.08,False,low,False
44.12,False,high,True
44.14,False,high,False
61.57,False,low,True
31.89,False,high,True
36.48,False,medium,False
47.88,False,medium,False
87.59,False,low,False
54.29,False,low,False
87.98,False,medium,False
17.56,False,medium,False
44.69,False,high,False
95.14,True,medium,False
94.72,False,low,False
11.07,False,high,False
76.62,False,medium,False
85.07,False,high,False
12.17,False,medium,False
33.22,False,high,False
47.05,False,low,False
37.01,False,low,False
81.19,False,medium,False
13.67,False,medium,False
62.09,False,high,False
96.0,True,low,False
84.13,False,low,False
98.5,True,low,True
75.52,False,high,False
11.64,False,medium,False
90.4,False,medium,False
41.37,False,low,False
63.33,False,low,False
14.93,False,medium,False
0.75,False,medium,False
50.66,False,high,False
38.27,False,medium,False
82.22,False,low,False
11.24,False,high,False
27.61,False,medium,False
15.58,False,low,False
28.91,False,medium,False
1.99,False,medium,False
80.93,False,low,False
76.25,False,low,False
23.41,False,high,False
41.5,False,medium,True
60.1,False,high,False
8.18,False,high,False
36.88,False,low,False
26.49,False,low,False
28.61,False,medium,False
55.59,False,low,False
34.89,False,low,False
96.02,True,low,False
48.04,False,low,False
30.79,False,low,False
52.44,False,low,False
89.63,False,high,False
84.35,False,low,False
1.86,False,low,False
3.79,False,low,False
83.25,False,high,False
37.83,False,high,False
65.08,False,medium,False
73.59,False,high,False
28.59,False,low,False
54.03,False,high,False
29.35,False,medium,False
44.81,False,low,False
38.72,False,low,False
18.04,False,high,False
62.89,False,low,False
73.26,False,high,False
16.75,False,medium,False
67.02,False,low,False
93.98,False,low,False
70.18,False,medium,False
61.65,False,high,False
0.65,False,high,False
26.71,False,low,False
2.9,False,low,False
75.79,False,low,False
76.52,False,high,False
3.27,False,high,False
43.1,False,low,False
16.28,False,medium,False
68.79,False,low,False
64.38,False,low,False
52.65,False,medium,False
79.17,False,high,False
96.74,True,high,False
13.84,False,medium,False
88.75,False,high,False
23.3,False,high,False
71.52,False,low,False
33.81,False,high,False
23.83,False,low,False
62.3,False,high,False
8.01,False,low,False
81.01,False,high,False
28.58,False,high,False
40.77,False,low,False
10.84,False,medium,False
36.57,False,medium,False
2.1,False,low,False
98.48,True,low,False
36.67,False,low,False
13.9,False,low,False
44.0,False,low,False
1.91,False,low,False
2.78,False,medium,False
6.85,False,low,False
48.56,False,low,False
44.61,False,low,False
50.02,False,high,False
20.44,False,medium,False
81.57,False,medium,False
36.21,False,medium,False
61.86,False,medium,True
47.42,False,low,False
47.56,False,low,True
13.72,False,low,False
48.64,False,medium,False
19.17,False,low,False
91.95,False,low,False
69.27,False,medium,False
33.82,False,high,False
29.2,False,high,False
95.66,True,high,False
88.9,False,medium,False
24.52,False,medium,False
97.86,True,medium,False
71.17,False,medium,False
9.46,False,medium,False
13.28,False,low,False
50.99,False,low,False
89.54,False,medium,False
23.23,False,low,False
86.51,False,high,False
18.37,False,medium,False
95.79,False,low,False
5.17,False,low,False
11.99,False,low,True
8.68,False,low,False
33.19,False,medium,False
0.34,False,high,True
87.31,False,high,False
54.22,False,medium,False
93.71,False,low,False
46.12,False,medium,False
33.02,False,low,False
97.75,True,medium,False
31.2,False,low,False
13.2,False,high,False
59.23,False,low,False
11.72,False,low,False
58.55,False,medium,True
3.38,False,low,True
22.06,False,low,False
10.45,False,low,False
77.24,False,medium,True
53.67,False,low,False
90.84,False,medium,False
20.86,False,low,False
7.83,False,low,False
45.17,False,high,False
74.39,False,high,False
85.64,False,medium,False
61.87,False,high,False
17.7,False,low,False
81.02,False,low,False
39.92,False,high,False
50.78,False,low,False
24.43,False,medium,False
60.37,False,high,False
62.93,False,high,False
90.56,False,high,True
25.85,False,medium,False
80.23,False,low,False
66.14,False,low,False
98.6,True,low,False
17.58,False,medium,False
67.59,False,high,False
43.75,False,medium,False
39.25,False,low,False
4.72,False,low,False
98.71,True,medium,False
22.16,False,low,True
41.67,False,low,False
6.22,False,low,True
87.19,False,low,False
71.06,False,low,False
58.03,False,high,False
30.82,False,low,False
24.52,False,high,True
19.13,False,low,False
47.15,False,low,False
10.61,False,low,False
69.61,False,medium,False
48.98,False,medium,True
66.74,False,medium,False
21.57,False,high,False
9.58,False,low,False
77.4,False,low,False
87.3,False,low,False
8.59,False,high,False
94.14,False,medium,False
12.51,False,low,False
48.26,False,high,False
62.14,False,medium,True
51.89,False,high,False
47.26,False,medium,False
82.8,False,low,False
47.34,False,high,False
62.27,False,low,False
17.09,False,low,False
68.53,False,low,False
78.41,False,medium,True
20.18,False,medium,False
0.97,False,high,False
42.9,False,medium,False
49.55,False,medium,False
17.95,False,low,False
79.73,False,medium,False
43.75,False,medium,False
32.21,False,high,False
53.7,False,high,False
50.16,False,low,False
43.57,False,medium,False
12.18,False,medium,True
73.4,False,low,False
26.7,False,low,False
43.12,False,low,False
12.16,False,low,False
81.37,False,low,False
82.13,False,medium,False
6.43,False,low,False
12.2,False,low,True
50.47,False,high,False
31.91,False,low,False
56.72,False,medium,False
39.34,False,low,False
49.15,False,medium,False
39.36,False,high,False
92.96,False,low,False
72.08,False,high,False
74.01,False,high,False
88.76,False,low,False
27.15,False,high,False
38.31,False,low,True
58.26,False,low,False
88.58,False,medium,False
88.78,False,low,False
34.57,False,low,False
40.12,False,high,False
25.21,False,low,False
24.22,False,low,False
40.67,False,low,False
56.03,False,low,False
49.15,False,low,False
58.53,False,high,False
41.26,False,medium,False
79.12,False,medium,False
9.48,False,medium,False
27.43,False,low,False
12.29,False,low,True
67.27,False,medium,False
69.72,False,low,False
92.01,False,medium,False
58.49,False,low,False
30.71,False,low,False
78.65,False,medium,False
73.06,False,low,False
61.73,False,medium,True
53.79,False,low,True
64.61,False,high,False
7.99,False,low,False
23.85,False,low,True
34.51,False,low,False
86.95,False,high,False
23.28,False,low,False
78.39,False,medium,False
48.7,False,high,False
5.09,False,low,False
22.42,False,low,False
55.22,False,high,False
92.11,False,low,False
24.83,False,medium,False
27.75,False,high,False
41.98,False,medium,False
65.88,False,low,False
61.06,False,low,False
60.74,False,low,False
99.9,True,low,False
93.71,False,low,False
23.85,False,medium,False
22.49,False,low,False
42.42,False,low,False
54.21,False,medium,False
99.73,True,low,False
31.81,False,low,False
45.04,False,low,False
17.9,False,low,False
41.04,False,low,True
29.44,False,high,True
6.39,False,medium,False
10.43,False,high,False
49.47,False,medium,False
9.81,False,high,False
45.85,False,low,False
83.98,False,medium,False
77.94,False,high,False
25.35,False,medium,False
12.7,False,low,False
79.72,False,low,False
80.35,False,low,False
30.32,False,medium,False
82.68,False,medium,False
43.31,False,low,False
95.39,True,medium,False
57.44,False,medium,False
97.36,False,medium,False
73.71,False,medium,True
97.7,False,medium,False
11.18,False,low,False
40.94,False,medium,False
61.4,False,medium,False
49.61,False,low,True
85.4,False,high,False
20.73,False,medium,False
72.18,False,low,False
54.45,False,medium,True
1.18,False,low,False
94.48,False,medium,False
67.99,False,low,False
64.13,False,high,False
24.56,False,medium,False
51.42,False,low,False
83.99,False,low,False
25.35,False,low,False
13.55,False,low,False
40.13,False,low,False
51.55,False,low,False
38.19,False,medium,True
33.94,False,low,False
2.11,False,medium,False
33.25,False,low,False
27.71,False,high,True
45.67,False,low,False
33.39,False,low,True
91.05,False,medium,True
75.17,False,medium,False
97.91,True,high,False
52.12,False,medium,False
13.32,False,low,False
21.45,False,low,True
29.92,False,low,False
19.3,False,low,True
52.2,False,medium,False
24.75,False,low,True
81.71,False,medium,False
57.43,False,low,True
58.98,False,medium,False
24.14,False,low,False
46.76,False,medium,False
70.63,False,high,False
50.76,False,low,False
88.08,False,high,False
75.74,False,medium,False
88.44,False,medium,True
24.53,False,medium,True
51.79,False,medium,False
80.66,False,low,False
79.03,False,low,False
64.94,False,low,False
10.29,False,medium,False
43.49,False,medium,True
43.11,False,low,False
35.63,False,low,False
7.16,False,low,True
25.08,False,low,False
50.25,False,high,False
73.08,False,low,False
40.14,False,low,False
14.57,False,high,False
74.13,False,low,False
70.55,False,low,False
41.35,False,medium,False
29.95,False,high,False
6.82,False,low,False
63.2,False,high,False
20.82,False,low,False
49.63,False,high,False
90.01,False,medium,False
56.31,False,medium,False
83.9,False,low,False
55.95,False,low,False
27.61,False,medium,False
0.33,False,low,False
94.13,False,medium,False
98.3,True,high,False
68.99,False,medium,False
32.39,False,low,False
25.54,False,low,False
0.12,False,low,False
38.77,False,high,False
66.34,False,medium,False
38.5,False,low,False
23.81,False,high,False
45.3,False,low,False
94.85,False,high,False
64.77,False,low,True
26.52,False,medium,False
87.11,False,low,False
31.03,False,medium,False
78.31,False,high,False
65.82,False,high,False
16.71,False,low,True
11.05,False,low,False
